Kansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,4,5,1,1,3,8,0,1,0,8,0,1,3,11,0,1,7,18,0,1,0,18,0,1,16,34,0,1,10,44,0,1,13,57,1,2,8,65,0,2,19,84,0,2,16,100,0,2,34,134,1,3,38,172,0,3,34,206,1,4,60,266,0,4,64,330,3,7,42,372,1,8,62,434,1,9,51,485,1,10,68,553,2,12,76,629,6,18,69,698,3,21,53,751,1,22,98,849,3,25,63,912,4,29,134,1046,5,34,70,1116,8,42,1,1117,0,42,158,1275,13,55,69,1344,1,56,46,1390,6,62,51,1441,7,69,63,1504,2,71,111,1615,9,80,115,1730,2,82,91,1821,3,85,84,1905,8,93,143,2048,9,102,116,2164,7,109,167,2331,3,112,390,2721,1,113,238,2959,5,118,176,3135,2,120
Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,2,8,0,0,2,10,0,0,4,14,0,0,0,14,0,0,6,20,0,0,1,21,1,1,5,26,0,1,1,27,0,1,10,37,1,2,10,47,0,2,40,87,1,3,16,103,0,3,20,123,1,4,39,162,0,4,35,197,1,5,50,247,0,5,54,301,2,7,79,380,2,9,58,438,0,9,41,479,2,11,149,628,0,11,4,632,7,18,138,770,13,31,0,770,3,34,147,917,6,40,38,955,5,45,0,955,0,45,194,1149,20,65,0,1149,0,65,192,1341,8,73,352,1693,17,90,0,1693,0,90,270,1963,7,97,55,2018,16,113,30,2048,-7,106,162,2210,9,115,225,2435,14,129,87,2522,8,137,185,2707,7,144,253,2960,2,146,90,3050,8,154,154,3204,17,171,174,3378,14,185,101,3479,6,191,300,3779,9,200,136,3915,5,205
Louisiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,6,0,0,13,19,0,0,17,36,0,0,41,77,1,1,14,91,1,2,45,136,1,3,60,196,1,4,61,257,0,4,135,392,6,10,146,538,4,14,47,585,2,16,252,837,4,20,335,1172,15,35,216,1388,11,46,407,1795,19,65,509,2304,18,83,440,2744,36,119,571,3315,18,137,225,3540,14,151,485,4025,34,185,1212,5237,54,239,1187,6424,34,273,2725,9149,37,310,1148,10297,60,370,2199,12496,39,409,514,13010,68,477,1857,14867,35,512,1417,16284,70,582,746,17030,70,652,1253,18283,50,702,970,19253,53,755,761,20014,51,806,581,20595,34,840,421,21016,44,884,502,21518,129,1013,433,21951,90,1103,581,22532,53,1156,586,23118,57,1213,462,23580,54,1267,348,23928,29,1296,595,24523,32,1328,331,24854,77,1405,404,25258,68,1473,481,25739,126,1599,401,26140,61,1660,372,26512,47,1707
Maine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3,0,0,9,12,0,0,5,17,0,0,15,32,0,0,10,42,0,0,10,52,0,0,4,56,0,0,14,70,0,0,19,89,0,0,18,107,0,0,11,118,0,0,24,142,0,0,13,155,0,0,13,168,1,1,43,211,0,1,42,253,2,3,22,275,0,3,28,303,2,5,0,303,0,5,73,376,2,7,56,432,2,9,24,456,1,10,14,470,0,10,29,499,0,10,20,519,2,12,18,537,2,14,23,560,2,16,26,586,1,17,30,616,2,19,17,633,0,19,65,698,0,19,37,735,1,20,35,770,4,24,26,796,3,27,31,827,2,29,20,847,3,32,20,867,2,34,8,875,1,35,13,888,1,36,19,907,3,39,30,937,5,44,28,965,3,47,0,965,0,47
Manitoba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,4,0,0,0,4,0,0,3,7,0,0,1,8,0,0,7,15,0,0,2,17,0,0,0,17,0,0,1,18,0,0,2,20,0,0,0,20,0,0,1,21,0,0,14,35,0,0,1,36,0,0,3,39,1,1,25,64,0,1,8,72,0,1,24,96,0,1,7,103,0,1,24,127,0,1,40,167,0,1,15,182,1,2,0,182,0,2,21,203,0,2,0,203,0,2,14,217,1,3,0,217,0,3,4,221,0,3,9,230,0,3,13,243,1,4,-1,242,0,4,4,246,0,4,0,246,0,4,0,246,1,5,4,250,0,5,0,250,0,5,3,253,0,5,1,254,0,5,0,254,1,6,1,255,0,6,2,257,0,6,5,262,0,6,1,263,0,6,4,267,0,6
Maryland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,1,9,0,0,3,12,0,0,6,18,0,0,8,26,0,0,6,32,0,0,9,41,0,0,19,60,0,0,25,85,0,0,22,107,1,1,42,149,0,1,44,193,1,2,51,244,1,3,46,290,0,3,59,349,1,4,76,425,0,4,158,583,0,4,192,775,1,5,220,995,0,5,244,1239,5,10,174,1413,5,15,247,1660,3,18,326,1986,13,31,345,2331,5,36,427,2758,7,43,367,3125,11,54,492,3617,13,67,428,4045,24,91,326,4371,12,103,1158,5529,21,124,656,6185,14,138,783,6968,33,171,726,7694,35,206,531,8225,30,236,711,8936,26,262,536,9472,40,302,560,10032,9,311,752,10784,8,319,788,11572,15,334,754,12326,87,421,521,12847,40,461,837,13684,121,582,509,14193,70,652,582,14775,46,698,962,15737,50,748,879,16616,50,798,1150,17766,77,875
Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,92,0,0,3,95,0,0,13,108,0,0,15,123,0,0,15,138,0,0,26,164,0,0,33,197,0,0,21,218,0,0,0,218,0,0,110,328,0,0,85,413,1,1,112,525,0,1,121,646,4,5,131,777,4,9,382,1159,2,11,679,1838,4,15,579,2417,10,25,823,3240,10,35,1017,4257,9,44,698,4955,4,48,797,5752,8,56,868,6620,33,89,1118,7738,33,122,1228,8966,32,154,1436,10402,38,192,1334,11736,24,216,764,12500,15,231,1337,13837,29,260,1365,15202,96,356,1588,16790,77,433,2151,18941,70,503,2033,20974,96,599,1886,22860,87,686,2615,25475,70,756,1392,26867,88,844,1297,28164,0,844,1754,29918,264,1108,2263,32181,0,1108,2221,34402,137,1245,1970,36372,159,1404,1705,38077,302,1706,0,38077,0,1706,3122,41199,255,1961,1745,42944,221,2182,3079,46023,178,2360,4946,50969,196,2556,2379,53348,174,2730
Michigan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,14,16,0,0,9,25,0,0,8,33,0,0,20,53,0,0,12,65,0,0,18,83,0,0,251,334,3,3,218,552,0,3,236,788,2,5,247,1035,4,9,294,1329,6,15,464,1793,9,24,503,2296,19,43,549,2845,18,61,789,3634,31,92,1016,4650,19,111,838,5488,21,132,1010,6498,52,184,1117,7615,75,259,1700,9315,76,335,1476,10791,82,417,1953,12744,62,479,1481,14225,61,540,1493,15718,77,617,1503,17221,110,727,1749,18970,118,845,1376,20346,114,959,1158,21504,117,1076,930,22434,200,1276,1171,23605,108,1384,639,24244,95,1479,1391,25635,123,1602,1366,27001,166,1768,1058,28059,153,1921,750,28809,75,1996,1214,30023,231,2227,768,30791,81,2308,633,31424,83,2391,576,32000,77,2468,667,32667,107,2575,1299,33966,238,2813,1330,35296,164,2977,1345,36641,108,3085,433,37074,70,3155
Minnesota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,5,0,0,4,9,0,0,5,14,0,0,7,21,0,0,14,35,0,0,19,54,0,0,6,60,0,0,17,77,0,0,12,89,0,0,26,115,0,0,23,138,1,1,29,167,0,1,67,234,0,1,27,261,0,1,25,286,0,1,58,344,1,2,52,396,2,4,45,441,1,5,62,503,4,9,73,576,1,10,53,629,2,12,60,689,5,17,53,742,1,18,46,788,4,22,77,865,2,24,70,935,5,29,51,986,1,30,83,1069,4,34,85,1154,5,39,86,1240,11,50,96,1336,7,57,91,1427,7,64,194,1621,6,70,0,1621,0,70,74,1695,9,79,114,1809,8,87,0,1809,0,87,261,2070,24,111,139,2209,10,121,147,2356,13,134,114,2470,9,143,97,2567,17,160,155,2722,19,179,220,2942,21,200,243,3185,21,221,261,3446,23,244
Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,5,6,0,0,4,10,0,0,3,13,0,0,8,21,0,0,13,34,0,0,16,50,1,1,30,80,0,1,60,140,0,1,67,207,0,1,42,249,0,1,71,320,0,1,57,377,2,3,108,485,3,6,94,579,2,8,84,663,5,13,96,759,1,14,88,847,2,16,90,937,4,20,136,1073,2,22,104,1177,4,26,181,1358,3,29,97,1455,6,35,183,1638,8,43,100,1738,8,51,177,1915,9,60,88,2003,7,67,257,2260,9,76,209,2469,6,82,173,2642,11,93,139,2781,3,96,161,2942,2,98,145,3087,13,111,273,3360,11,122,264,3624,7,129,169,3793,11,140,181,3974,12,152,300,4274,7,159,238,4512,10,169,204,4716,14,183,178,4894,10,193,259,5153,8,201,281,5434,8,209,284,5718,12,221
Missouri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,2,0,0,2,4,0,0,1,5,0,0,1,6,0,0,5,11,0,0,7,18,0,0,13,31,1,1,22,53,1,2,21,74,1,3,13,87,0,3,100,187,1,4,70,257,3,7,97,354,1,8,166,520,1,9,146,666,0,9,170,836,1,10,79,915,3,13,136,1051,0,13,306,1357,2,15,256,1613,3,18,244,1857,4,22,7,1864,3,25,446,2310,8,33,37,2347,11,44,389,2736,3,47,394,3130,18,65,79,3209,21,86,223,3432,7,93,465,3897,6,99,211,4108,17,116,161,4269,2,118,246,4515,5,123,231,4746,26,149,45,4791,4,153,383,5174,16,169,197,5371,15,184,208,5579,13,197,164,5743,2,199,147,5890,1,200,176,6066,24,224,211,6277,14,238,229,6506,14,252,282,6788,20,272,147,6935,9,281
Montana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,4,5,0,0,2,7,0,0,0,7,0,0,2,9,0,0,2,11,0,0,0,11,0,0,4,15,0,0,6,21,0,0,13,34,0,0,0,34,0,0,17,51,0,0,14,65,0,0,25,90,0,0,19,109,1,1,20,129,0,1,25,154,0,1,17,171,4,5,27,198,0,5,10,208,1,6,33,241,0,6,2,243,-1,5,22,265,1,6,21,286,0,6,13,299,0,6,20,319,0,6,13,332,0,6,22,354,0,6,11,365,0,6,12,377,0,6,10,387,0,6,7,394,1,7,5,399,0,7,5,404,0,7,11,415,0,7,7,422,1,8,4,426,2,10,7,433,0,10,0,433,0,10,4,437,2,12,2,439,2,14,3,442,0,14,2,444,0,14,1,445,0,14
Nebraska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,5,0,0,5,10,0,0,3,13,0,0,1,14,0,0,3,17,0,0,1,18,0,0,3,21,0,0,3,24,0,0,5,29,0,0,8,37,0,0,1,38,0,0,13,51,0,0,0,51,0,0,15,66,0,0,5,71,0,0,3,74,0,0,8,82,0,0,14,96,2,2,12,108,0,2,37,145,0,2,27,172,1,3,38,210,1,4,36,246,1,5,33,279,1,6,42,321,0,6,43,364,2,8,53,417,1,9,30,447,1,10,72,519,2,12,49,568,2,14,67,635,1,15,64,699,2,17,92,791,0,17,23,814,0,17,83,897,3,20,4,901,0,20,51,952,1,21,114,1066,3,24,183,1249,0,24,225,1474,4,28,174,1648,5,33,37,1685,0,33,128,1813,5,38,389,2202,9,47,222,2424,3,50,295,2719,0,50
Nevada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,3,7,0,0,7,14,0,0,3,17,0,0,4,21,0,0,3,24,0,0,21,45,1,1,11,56,0,1,-1,55,0,1,40,95,0,1,19,114,0,1,47,161,1,2,29,190,0,2,55,245,2,4,33,278,0,4,45,323,2,6,97,420,4,10,116,536,0,10,90,626,0,10,294,920,5,15,92,1012,0,15,102,1114,11,26,165,1279,5,31,184,1463,7,38,51,1514,5,43,228,1742,3,46,113,1855,0,46,98,1953,0,46,171,2124,26,72,135,2259,0,72,197,2456,9,81,266,2722,9,90,-20,2702,12,102,134,2836,10,112,154,2990,2,114,144,3134,12,126,77,3211,5,131,3,3214,6,137,310,3524,5,142,102,3626,9,151,102,3728,7,158,102,3830,1,159,107,3937,4,163,144,4081,9,172,127,4208,23,195,190,4398,2,197,141,4539,8,205
New Brunswick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,2,0,0,4,6,0,0,2,8,0,0,3,11,0,0,0,11,0,0,0,11,0,0,6,17,0,0,0,17,0,0,0,17,0,0,1,18,0,0,0,18,0,0,15,33,0,0,12,45,0,0,6,51,0,0,15,66,0,0,2,68,0,0,2,70,0,0,11,81,0,0,10,91,0,0,0,91,0,0,0,91,0,0,7,98,0,0,5,103,0,0,2,105,0,0,0,105,0,0,3,108,0,0,4,112,0,0,0,112,0,0,2,114,0,0,2,116,0,0,0,116,0,0,1,117,0,0,0,117,0,0,0,117,0,0,0,117,0,0,1,118,0,0,0,118,0,0,0,118,0,0,0,118,0,0,0,118,0,0,0,118,0,0,0,118,0,0
